Instance,Contractor(s),Date Type,Date,Misconduct Type,Disposition Type,Court Type,Enforcement Agency,Contracting Party,Total Penalties
Oak Ridge National Lab - DoE Inspector General Report,UT-Battelle LLC,Date of Report,5/22/2008,Cost/Labor Mischarge,Investigative Finding,N/A,Energy,Energy,0
Scroggin v. Wyeth (Hormone Therapy Litigation),Wyeth,Date of Verdict,2/25/2008,Health,Judgment Against Defendant,Civil,Non-Governmental,None,22110000
Federal PCB Violations,Fluor Corporation,Date of Announcement,11/1/2007,Environment,Fine,Administrative,EPA,Energy,54800
U.S. v. Palmer (Involuntary Manslaughter),DynCorp International Inc.,Date of Sentencing,3/29/2010,Other,Pleaded Guilty,Criminal,Justice,State Dept.,6000
Overtime Pay Violation,Halliburton,Date of Violation Announcement,9/22/2015,Labor,Restitution,N/A,Labor,None,18293557
Patient Records Privacy Breaches - HHS Investigation,University of California,Date of Settlement Announcement,7/7/2011,Consumer Affairs,Settlement,N/A,Health and Human Services,None,865500
Hazardous Waste,Exxon Mobil,Date of Settlement,12/13/2001,Environment,Settlement,Civil,EPA,None,11200000
McDowell v. CGI Federal (Passport Agency Data Breach),CGI Group Inc.,Date of Original Complaint,7/20/2015,Poor Contract Performance,Pending,Civil,Non-Governmental,State Dept.,0
Aircraft Toxin Exposure,Boeing Company,Date of Filing,6/30/2009,Health,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
U.S. v. Stanley (Nigeria LNG Contracts Bribery),KBR,Date of Plea,9/3/2008,Ethics,Pleaded Guilty,Criminal,Justice,International,0
Hydrochloric Acid Handling Violations in Pennsylvania,Halliburton,Date of Fine Announcement,2/18/2014,Environment,Fine,Administrative,State/Local,None,1800000
Overtime Pay Class Action Lawsuit,"Dell, Inc.",Date of Complaint,12/14/2007,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
"Gibson, et al. v. Shaw Group Inc, et al. (Racial Discrimination)",Shaw Group,Date of Settlement,8/27/2001,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Improperly Installed Oxygen Systems on B-777 Airliners,Boeing Company,Date of Penalty Announcement,6/27/2011,Health,Fine,Administrative,Transportation,None,1050000
Shin v. MIT (Accident-Related Wrongful Death),Massachusetts Inst. of Technology,Date of Settlement Announcement,4/3/2006,Health,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Misclassifying Workers - Massachusetts Attorney General Lawsuit,FedEx Corporation,Date of Settlement Announcement,7/15/2010,Labor,Settlement,N/A,State/Local,None,3045000
New York City Emergency Communications Contract,Hewlett-Packard Company,Date of Settlement Announcement,12/15/2014,Poor Contract Performance,Settlement,Civil,State/Local,State/Local,10600000
"U.S. ex rel. McArtor v. Rolls Royce (False Claims, Whistleblower Retaliation)",Rolls-Royce PLC,Date of Second Amended Complaint,11/14/2011,Government Contract Fraud,Pending,Civil,Non-Governmental,Defense - General,0
